"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"219",219,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Cavallino Treporti spiaggia di Cavallino","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","10","17",10,5,5,5,10,10,1,10,1,1,NA,NA,NA,2,7,2,NA,10,10,10,10,7,2,2,2,2,10,10,3,10,10,10,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,2,2,1,1,1,7,2,7,1,NA,NA,7,7,9,9,3,7,7,7,7,7,2,7,1,2,16,NA,1,NA,NA,NA,1,2,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,6,6,6,6,NA,NA,c(12.57709, 45.47764)
"220",220,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Cavallino Treporti spiaggia di Cavallino","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","26",10,5,5,5,10,10,1,10,1,1,NA,NA,NA,2,7,2,NA,10,10,10,10,7,2,2,2,2,10,10,3,10,10,10,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,2,2,1,1,1,7,2,7,1,NA,NA,7,7,9,9,3,7,7,7,7,7,2,7,1,2,16,NA,1,NA,NA,NA,1,2,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,6,6,6,6,NA,NA,c(12.57709, 45.47764)
"221",221,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Cavallino Treporti spiaggia di Cavallino","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","02","15",10,5,5,5,10,10,1,10,1,1,NA,NA,NA,2,7,2,NA,10,10,10,10,7,2,2,2,2,10,10,3,10,10,10,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,2,2,1,1,1,7,2,7,1,NA,NA,7,7,9,9,3,7,7,7,7,7,2,7,1,2,16,NA,1,NA,NA,NA,1,2,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,6,6,6,6,NA,NA,c(12.57709, 45.47764)
"222",222,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Cavallino Treporti spiaggia di Cavallino","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","09",10,5,5,5,10,10,1,10,1,1,NA,NA,NA,2,7,2,NA,10,10,10,10,7,2,2,2,2,10,10,3,10,10,10,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,2,2,1,1,1,7,2,7,1,NA,NA,7,7,9,9,3,7,7,7,7,7,2,7,1,2,16,NA,1,NA,NA,NA,1,2,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,6,6,6,6,NA,NA,c(12.57709, 45.47764)
"223",223,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido di Staranzano","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","15",15,NA,NA,NA,15,15,1,15,1,1,NA,NA,NA,NA,8,NA,NA,15,15,15,15,8,3,59,NA,NA,15,15,NA,15,15,15,47,47,NA,NA,41,41,8,41,41,8,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,5,47,47,47,8,NA,8,47,NA,NA,8,8,16,16,NA,8,8,8,8,8,NA,8,1,5,57,3,NA,3,NA,1,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,1,NA,NA,10,NA,10,4,1,1,NA,1,1,NA,1,1,1,1,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,4,NA,3,3,3,3,NA,NA,c(13.52198, 45.76578)
"224",224,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido di Staranzano","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","30",15,NA,NA,NA,15,15,1,15,1,1,NA,NA,NA,NA,8,NA,NA,15,15,15,15,8,3,59,NA,NA,15,15,NA,15,15,15,47,47,NA,NA,41,41,8,41,41,8,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,5,47,47,47,8,NA,8,47,NA,NA,8,8,16,16,NA,8,8,8,8,8,NA,8,1,5,57,3,NA,3,NA,1,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,1,NA,NA,10,NA,10,4,1,1,NA,1,1,NA,1,1,1,1,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,4,NA,3,3,3,3,NA,NA,c(13.52198, 45.76578)
"225",225,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido di Staranzano","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","20",15,NA,NA,NA,15,15,1,15,1,1,NA,NA,NA,NA,8,NA,NA,15,15,15,15,8,3,59,NA,NA,15,15,NA,15,15,15,47,47,NA,NA,41,41,8,41,41,8,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,5,47,47,47,8,NA,8,47,NA,NA,8,8,16,16,NA,8,8,8,8,8,NA,8,1,5,57,3,NA,3,NA,1,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,1,NA,NA,10,NA,10,4,1,1,NA,1,1,NA,1,1,1,1,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,4,NA,3,3,3,3,NA,NA,c(13.52198, 45.76578)
"226",226,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido di Staranzano","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","28",15,NA,NA,NA,15,15,1,15,1,1,NA,NA,NA,NA,8,NA,NA,15,15,15,15,8,3,59,NA,NA,15,15,NA,15,15,15,47,47,NA,NA,41,41,8,41,41,8,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,5,47,47,47,8,NA,8,47,NA,NA,8,8,16,16,NA,8,8,8,8,8,NA,8,1,5,57,3,NA,3,NA,1,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,1,NA,NA,10,NA,10,4,1,1,NA,1,1,NA,1,1,1,1,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,4,NA,3,3,3,3,NA,NA,c(13.52198, 45.76578)
"227",227,"Legambiente Onlus","Spiaggia Agnone Cilento, Montecorice (SA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","14",NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,38,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,19,63,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(14.9933300000403, 40.2173800000268)
"228",228,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marinella foce Magra","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","19",14,136,136,136,14,14,9,14,9,9,NA,NA,NA,5,44,5,1,14,14,14,14,44,14,21,1,1,14,14,3,14,14,14,111,111,NA,NA,NA,NA,44,NA,NA,44,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,5,7,111,111,111,44,1,44,111,NA,NA,44,44,923,923,3,44,44,44,44,44,5,44,1,7,9,NA,8,NA,2,10,1,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,NA,NA,22,NA,NA,22,2,3,1,1,1,1,3,5,3,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,6,6,6,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,2,2,1,2,1,1,NA,NA,NA,NA,1,NA,c(10.00792, 44.04958)
"229",229,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marinella foce Magra","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","04","03",14,136,136,136,14,14,9,14,9,9,NA,NA,NA,5,44,5,1,14,14,14,14,44,14,21,1,1,14,14,3,14,14,14,111,111,NA,NA,NA,NA,44,NA,NA,44,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,5,7,111,111,111,44,1,44,111,NA,NA,44,44,923,923,3,44,44,44,44,44,5,44,1,7,9,NA,8,NA,2,10,1,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,NA,NA,22,NA,NA,22,2,3,1,1,1,1,3,5,3,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,6,6,6,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,2,2,1,2,1,1,NA,NA,NA,NA,1,NA,c(10.00792, 44.04958)
"230",230,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marinella foce Magra","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","12","21",14,136,136,136,14,14,9,14,9,9,NA,NA,NA,5,44,5,1,14,14,14,14,44,14,21,1,1,14,14,3,14,14,14,111,111,NA,NA,NA,NA,44,NA,NA,44,1,1,1,1,1,1,1,NA,1,3,NA,NA,NA,5,7,111,111,111,44,1,44,111,NA,NA,44,44,923,923,3,44,44,44,44,44,5,44,1,7,9,NA,8,NA,2,10,1,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,NA,NA,22,NA,NA,22,2,3,1,1,1,1,3,5,3,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,6,6,6,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,2,2,1,2,1,1,NA,NA,NA,NA,1,NA,c(10.00792, 44.04958)
"231",231,"Legambiente Onlus","Spiaggia di Romagnolo, Palermo (PA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","20",2,54,30,1,54,185,25,48,1,24,NA,5,NA,NA,NA,6,12,337,74,23,92,1,13,120,2,2,56,NA,3,62,40,73,NA,3,NA,3,NA,NA,NA,NA,NA,2,1,10,NA,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,12,NA,110,NA,2,11,NA,149,NA,NA,83,16,38,2,NA,NA,NA,NA,NA,20,2,NA,2,NA,1392,11,33,NA,5,38,2,NA,363,1,2,4,11,NA,4,2,NA,5,45,80,11,NA,NA,1,1,NA,NA,18,NA,NA,NA,2,5,NA,1,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,3,1,24,4,3,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,1,NA,3,NA,12,NA,NA,NA,20,1,NA,NA,34,NA,4,NA,c(13.394980000125, 38.1039300000867)
"232",232,"OceanCare Cleanups","Vendicari_Leung/Wang/Meze/Krust","IT","Mediterranean Sea",37,"Rural","Sandy","Cleanup","2018","04","10",NA,3,5,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,16,3,NA,2,16,NA,NA,5,11,4,3,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,10,NA,4,NA,NA,NA,NA,1,NA,2,NA,NA,NA,5,3,NA,NA,NA,1,NA,NA,NA,NA,207,NA,150,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,c(15.1072166528597, 36.8395237032911)
"233",233,"Surfrider Foundation Europe","27-33 Lungomare di Ponente, 00054 Fregene, Italie","IT","Mediterranean Sea",83,NA,NA,"Cleanup","2015","04","18",NA,200,NA,NA,20,50,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,5,100,NA,NA,20,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,40,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,70,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,c(12.1916000004018, 41.855999999833)
"234",234,"Legambiente Onlus","Spiaggia Torrette di Ancona (AN)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","24",NA,NA,3,NA,14,14,10,3,9,4,NA,NA,NA,NA,1,1,NA,47,26,3,NA,12,6,60,NA,1,NA,NA,2,3,5,2,NA,NA,2,2,NA,NA,NA,58,NA,NA,4,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,70,30,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,10,NA,1,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,NA,NA,NA,3,7,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,9,NA,NA,2,NA,NA,NA,NA,6,NA,5,NA,c(13.4521999995574, 43.6109900000227)
"235",235,"Surfrider Foundation Europe","99 Via Aurelia di Levante, 16016 Cogoleto, Italie","IT","Mediterranean Sea",79,NA,NA,"Cleanup","2015","04","12",NA,NA,NA,NA,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,NA,NA,10,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(8.66247999993786, 44.3905999998446)
"236",236,"OceanCare Cleanups","Vendicari_pientka","IT","Mediterranean Sea",35,NA,NA,"Cleanup","2018","04","10",0,10,5,0,1,8,0,7,0,0,0,0,0,0,NA,4,0,17,0,22,1,0,2,1,0,1,6,7,1,7,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0,0,0,0,0,0,2,4,3,0,0,0,1,0,0,68,0,0,3,0,10,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,NA,1,0,0,0,NA,NA,NA,NA,0,2,4,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,2,2,0,0,NA,0,NA,NA,NA,0,NA,1,0,1,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,c(15.1068672279771, 36.8391846708571)
"237",237,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Imera","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","05",5,10,10,10,5,5,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,5,5,5,5,4,1,NA,NA,NA,5,5,NA,5,5,5,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,20,20,NA,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,7,2,NA,2,10,NA,NA,NA,NA,NA,7,7,NA,2,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,c(13.95224, 37.10206)
"238",238,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Imera","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","12","04",5,10,10,10,5,5,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,5,5,5,5,4,1,NA,NA,NA,5,5,NA,5,5,5,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,20,20,NA,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,7,2,NA,2,10,NA,NA,NA,NA,NA,7,7,NA,2,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,c(13.95224, 37.10206)
"239",239,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Imera","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","11",5,10,10,10,5,5,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,5,5,5,5,4,1,NA,NA,NA,5,5,NA,5,5,5,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,20,20,NA,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,7,2,NA,2,10,NA,NA,NA,NA,NA,7,7,NA,2,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,c(13.95224, 37.10206)
"240",240,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Imera","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","04","27",5,10,10,10,5,5,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,5,5,5,5,4,1,NA,NA,NA,5,5,NA,5,5,5,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,20,20,NA,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,7,2,NA,2,10,NA,NA,NA,NA,NA,7,7,NA,2,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,c(13.95224, 37.10206)
"241",241,"Legambiente Onlus","Spiaggia Cantone, Barcellona Pozzo di Gotto (ME)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2016","05","13",1,8,NA,NA,73,5,5,NA,NA,NA,9,2,4,8,1,1,3,6,NA,NA,NA,NA,1,121,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,NA,4,1,3,NA,NA,4,11,NA,NA,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,1,11,NA,NA,NA,NA,NA,5,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,3,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,5,4,5,4,1,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,18,1,38,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA,c(15.1721000003178, 38.1522999999756)
"242",242,"Legambiente Onlus","Spiaggia di zona Arco, Tricase (LE)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2014","05","22",2,6,5,NA,64,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,80,NA,NA,13,NA,NA,20,54,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16,15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,5,53,NA,8,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,71,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,100,NA,NA,NA,NA,2,NA,NA,c(18.3958599999609, 39.9309299999761)
"243",243,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Collelungo","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2017","11","20",5,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,1,9,1,NA,5,5,5,5,9,2,NA,NA,NA,5,5,1,5,5,5,NA,NA,NA,NA,NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,9,NA,9,NA,NA,NA,9,9,7,7,1,9,9,9,9,9,1,9,NA,2,38,NA,3,NA,NA,NA,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(11.02865, 42.65128)
"244",244,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Collelungo","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2018","11","19",5,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,1,9,1,NA,5,5,5,5,9,2,NA,NA,NA,5,5,1,5,5,5,NA,NA,NA,NA,NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,9,NA,9,NA,NA,NA,9,9,7,7,1,9,9,9,9,9,1,9,NA,2,38,NA,3,NA,NA,NA,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(11.02865, 42.65128)
